send	data	#260,	winSize = 11
recv	ack	#238,	sack	#251
send	data	#261,	winSize = 11
recv	ack	#238,	sack	#252
send	data	#262,	winSize = 11
recv	ack	#238,	sack	#253
send	data	#263,	winSize = 11
recv	ack	#238,	sack	#254
send	data	#264,	winSize = 11
recv	ack	#238,	sack	#255
send	data	#265,	winSize = 11
recv	ack	#238,	sack	#256
send	data	#266,	winSize = 11
recv	ack	#238,	sack	#238
recv	ack	#256,	sack	#239
send	data	#267,	winSize = 11
recv	ack	#256,	sack	#258
send	data	#268,	winSize = 11
recv	ack	#256,	sack	#259
send	data	#269,	winSize = 11
recv	ack	#256,	sack	#260
send	data	#270,	winSize = 11
resnd	data	#257,	winSize = 11
recv	ack	#256,	sack	#261
send	data	#271,	winSize = 11
recv	ack	#256,	sack	#262
send	data	#272,	winSize = 11
recv	ack	#256,	sack	#263
send	data	#273,	winSize = 11
recv	ack	#256,	sack	#264
send	data	#274,	winSize = 11
recv	ack	#256,	sack	#265
send	data	#275,	winSize = 11
recv	ack	#256,	sack	#266
send	data	#276,	winSize = 11
recv	ack	#256,	sack	#267
send	data	#277,	winSize = 11
recv	ack	#256,	sack	#268
send	data	#278,	winSize = 11
recv	ack	#256,	sack	#269
send	data	#279,	winSize = 11
recv	ack	#256,	sack	#270
send	data	#280,	winSize = 11
recv	ack	#270,	sack	#257
send	data	#281,	winSize = 11
recv	ack	#271,	sack	#271
send	data	#282,	winSize = 12
send	data	#283,	winSize = 12
recv	ack	#272,	sack	#272
send	data	#284,	winSize = 12
recv	ack	#273,	sack	#273
send	data	#285,	winSize = 12
recv	ack	#274,	sack	#274
send	data	#286,	winSize = 12
recv	ack	#275,	sack	#275
send	data	#287,	winSize = 12
recv	ack	#276,	sack	#276
send	data	#288,	winSize = 12
recv	ack	#277,	sack	#277
send	data	#289,	winSize = 12
recv	ack	#278,	sack	#278
send	data	#290,	winSize = 12
recv	ack	#279,	sack	#279
send	data	#291,	winSize = 12
recv	ack	#280,	sack	#280
send	data	#292,	winSize = 12
recv	ack	#281,	sack	#281
send	data	#293,	winSize = 12
recv	ack	#282,	sack	#282
send	data	#294,	winSize = 12
recv	ack	#283,	sack	#283
send	data	#295,	winSize = 13
send	data	#296,	winSize = 13
recv	ack	#284,	sack	#284
send	data	#297,	winSize = 13
recv	ack	#285,	sack	#285
send	data	#298,	winSize = 13
recv	ack	#286,	sack	#286
send	data	#299,	winSize = 13
